Full Name,Division,Insurance Network
"Theresa Meotti, MD",Family Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Jacques L Moritz, MD",Obstetrics & Gynecology,"Gynecology & Integrative  Women's Care, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Roshni Naik, MD",Allergy & Immunology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Neil L Prufer, MD",Otolaryngology,"ENT and Allergy Associates
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Nicolette Reese, MD",Obstetrics & Gynecology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Danya E Reich, MD",Family Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Maria Reichel, MD",Family Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Carol E Rodriguez, MD",Obstetrics & Gynecology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Jason R Rubinov, MD",Gastroenterology / Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Aetna 
(Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Centivo Comerical, Cigna (Commercial) Clinical Integrate
Network, Cigna (Medicare) Clinical Integrated Network, Emblem (GH
Medicare) Clinical Integrated Network, Emblem (HIP Medicaid) Clinic
Integrated Network, Emblem Health (HIP Commerical and Medicare)
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Empire (Commercial/Medicare) Clinical Integrated Network
Humana (Medicare), Humana (Medicare), Oscar, Oscar, Top Tier, 
UMR Top Tier, UMR Top Tier, United (Commercial) Clinical Integrate
Network
Clinically Integrated Network Member"
"Jason R Rubinov, MD",Gastroenterology / Internal Medicine,"JRR Medical PC
Aetna (Commercial) Clinical Integrated Network, Aetna 
(Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Centivo Comerical, Cigna (Commercial) Clinical Integrate
Network, Cigna (Medicare) Clinical Integrated Network, Emblem (GH
Medicare) Clinical Integrated Network, Emblem (HIP Medicaid) Clinic
Integrated Network, Emblem Health (HIP Commerical and Medicare)
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Empire (Commercial/Medicare) Clinical Integrated Network
Humana (Medicare), Humana (Medicare), Oscar, Oscar, Top Tier, 
UMR Top Tier, UMR Top Tier, United (Commercial) Clinical Integrate
Network
Clinically Integrated Network Member"
"Hayley E Scholl, MD",Obstetrics & Gynecology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Anupama S Shah, MD",Obstetrics & Gynecology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Mark Strom, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Omar M Waqar, MD",Allergy & Immunology,"ENT and Allergy Associates
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Marco Yeung, MD",Orthopaedic Surgery / Sports Medicine (Podiatry),"Centivo Comerical, Empire (Commercial) Clinical Integrated Network, 
Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Janice Y Chyou, MD",Clinical Cardiac Electrophysiology / Cardiology,
"Network, Emblem Health (HIP Commerical and Medicare) Clinical","Integrated Network, Empire (Commercial/Medicare) Clinical Integrated","Network, Humana (Medicare), Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Murray Orbuch, MD",Gastroenterology / Internal Medicine,"Murray Orbuch, MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Jeffrey A Bander, MD",Cardiology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Dina M Began, MD",Dermatology / Internal Medicine,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Oscar, UMR Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Robert L Buka, MD",Dermatology,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem (HIP Medicaid) Clinical Integrated 
Network, Emblem Health (HIP Commerical and Medicare) Clinical 
Integrated Network, Empire (Commercial/Medicare) Clinical Integrated 
Network, Oscar, UMR Top Tier, United (Commercial) Clinical 
Integrated Network
Clinically Integrated Network Member"
"Michele Burgess, MD",Dermatology,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Oscar, UMR Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Sourab P Choudhury, DO",Dermatology / Pediatric Dermatology,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem (HIP Medicaid) Clinical Integrated 
Network, Emblem Health (HIP Commerical and Medicare) Clinical 
Integrated Network, Empire (Commercial/Medicare) Clinical Integrated 
Network, Oscar, UMR Top Tier, United (Commercial) Clinical 
Integrated Network
Clinically Integrated Network Member"
"Beau A DiCicco, MD",Dermatology,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem (HIP Medicaid) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Oscar, UMR Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Robert L Finney, MD",Dermatology,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Commercial) Clinical Integrated Network, Cigna (Medicare) Clinical 
Integrated Network, Cigna (Medicare) Clinical Integrated Network, 
Emblem (GHI Commerical) Clinical Integrated Network, Emblem (GHI 
Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Emblem Health (HIP 
Commerical and Medicare) Clinical Integrated Network, Empire 
(Commercial/Medicare) Clinical Integrated Network, Humana 
(Medicare), Oscar, Oscar, UMR Top Tier, UMR Top Tier, United 
(Commercial) Clinical Integrated Network, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Alison B Gruen, MD",Dermatology,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Peter W Hashim, MD",Dermatology,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Centivo Comerical, Cigna (Commercial) Clinical Integrated 
Network, Cigna (Medicare) Clinical Integrated Network, Emblem (GHI 
Medicare) Clinical Integrated Network, Emblem (HIP Medicaid) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Virgil Hatcher, MD",Dermatology,"Infinity Dermatology ? Williamsburg
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem (HIP Medicaid) Clinical Integrated 
Network, Emblem Health (HIP Commerical and Medicare) Clinical 
Integrated Network, Empire (Commercial/Medicare) Clinical Integrated 
Network, Oscar, UMR Top Tier, United (Commercial) Clinical 
Integrated Network
Clinically Integrated Network Member"
"Lawrence M Jacobson, MD",Ophthalmology,"Lawrence Marc Jacobson MD PLLC
Centivo Comerical, Centivo Comerical, Cigna (Commercial) Clinical 
Integrated Network, Cigna (Medicare) Clinical Integrated Network, 
Emblem (GHI Commerical) Clinical Integrated Network, Emblem (GHI 
Medicare) Clinical Integrated Network, Emblem (HIP Medicaid) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Humana (Medicare), Oscar, 
Oscar, UMR Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Hasan Khosravi, MD",Dermatology,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Walter J Molofsky, MD",Neurology with Special Qualification in Child Neurology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Charlotte S Noorollah, DO",Dermatology,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Oscar, UMR Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Harry Pantelides, MD",Otolaryngology,"ENT of Brooklyn PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem (HIP Medicaid) Clinical Integrated 
Network, Emblem Health (HIP Commerical and Medicare) Clinical 
Integrated Network, Empire (Commercial/Medicare) Clinical Integrated 
Network, Humana (Medicare), Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Andrew J Peranteau, MD",Dermatology,
Clinical Integrated Network,Clinically Integrated Network Member,
"Andrea N Persaud, MD",Dermatology,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem (HIP Medicaid) Clinical Integrated 
Network, Emblem Health (HIP Commerical and Medicare) Clinical 
Integrated Network, Empire (Commercial/Medicare) Clinical Integrated 
Network, Oscar, UMR Top Tier, United (Commercial) Clinical 
Integrated Network
Clinically Integrated Network Member"
"Joshua N Shatzkes, MD",Cardiology / Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Sanjosh Singh, DO",Dermatology,"Bobby Buka MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Oscar, UMR Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
