Full Name
"Judith A Aberg, MD"
"Benclement Gervacio, MD"
"Jaskirat K Gill, MD"
"Jennifer K Gillen, MD"
Clinically Integrated Network Member
"Pedro Giron, MD"
"Jeffrey A Glassberg, MD"
"Ariana Gluck, DO"
"Jacob K Goertz, MD"
"Armin Gollogly, MD"
"Dania A Goodin, MD"
"Rostislav Gorbatov, MD"
"Mamatha Gowda, MD"
"Michael Graber, MD"
"Roberto E Granato, MD"
"Howard J Greenberg, MD"
"Alexander J Greenstein, MD"
"Jonathan Grenadir, MD"
"Ari M Grinspan, MD"
"Robert J Grossi, MD"
"Duncan H Grossman, DO"
"Ganesh Gunasekaran, MD"
"Hailey S Gupta, MD"
"Nishant K Gupta, MD"
"Kevin Gurcharran, MD"
"Gary Gwertzman, MD"
"Leah Habersham, MD, MBA"
"Sara Hadi, MD"
"Mehrvash Haghighi, MD"
"Christopher W Hahn, MD"
"Sue Hahn, MD"
"Ali Haidar, MD"
"Joan Han, MD"
"Sang Myung Han, MD"
"Laurel R Hansen, MD"
"Qing Hao, MD"
"Rosy Hao, MD"
"Maichael D Harbus, DO"
"Marco A Harmaty, MD"
"(718) 932-1000    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Eugenius J Harvey, MD"
"Nicole C Hays, DO"
"Chen He, MD"
"Tomas M Heimann, MD"
"Kimberly Henderson, MD"
"Peter W Henderson, MD"
"Aneury Hernandez, MD"
"Jordan Hernandez, MD"
"Daniel M Herron, MD"
"Harvey Himel, MD"
"Spiros P Hiotis, MD"
"Robert Hoke, MD"
"Matthew Holzner, MD"
"Mark C Homonoff, MD"
"Elan L Horesh, MD, MPH"
"Rubayet Hossain, MD"
"Ian Hsu, MD"
"Shu-Wei Hsu, MD"
"Kevin Hu, MD"
"Solomon Husain, MD"
"Sehba Husain-Krautter, MD, PhD"
"Erica E Igbinoghene, MD"
"Benedikt Ilyaguyev, DO"
"Gene Y Im, MD"
"Krithi Irmady, MBBS"
"Mehrin Islam, MD"
"Adelle Iusim, MD"
"Rupa L Iyengar-Kapuganti, MD"
"Anitha Iyer-Kothari, PhD"
"Adam H Jacobi, MD"
"Jordan M Jacobs, MD"
"Andy S Jagoda, MD"
"Logan Jardine, MD"
"Noelle Marie C Javier, MD"
"Cortlyn Jeter, MD"
"Malcolm Johnson, MD"
"Stephen Johnstone, MD"
"Salazar A Jones, MD"
"Jose Miguel Juarez, MD"
"Jeffrey Julian, MD"
"Shelda Kalloo, MD"
"Garima Kalra, DO"
"Mikail Kamal, DO"
"Ankit Kansal, MD"
"Tanya Kapka, MD"
"Yonatan B Kaplan, MD"
"Vishal Kapur, MD"
"Craig L Katz, MD"
"(212) 659-8752    |    30-19 Crescent Street, Astoria, NY 11102    |     3.64 miles"
"David Kaufman, MD"
"Shubhi Kaushik, MD"
"Maia Kayal, MD"
"Kasim Kazbay, MD"
"Gabriela R Keeton, MD"
"Kristen M Kelly, MD"
"Sergey Khaitov, MD"
"Rishi Khakhkha, MD, MBA"
"Yasmin Khan, MD"
"Utsha Khatri, MD"
"Le Yu Khine, MD"
"Abdul A Khuwaja, MD"
"Christen Kidd, MD"
"Amie M Kim, MD"
"(718) 808-7003    |    30-14 Crescent Street, Astoria, NY 11102    |     3.64 miles"
"Boram Kim, DO"
"Brian D Kim, MD"
"Jaehon M Kim, MD"
"John K Kim, MD"
"Renita S Kim, MD, PhD"
"Sanghyun A Kim, MD"
"Sung Y Kim, MD"
"Subhash U Kini, MD"
"Diana N Kirke, MD"
"Dana Klavansky, MD"
"Brett Klein, RD"
"Rebecca Klein, MD"
"Agnieszka Kokoszka, MD"
"Foula C Kontonicolas, MD"
"Yelena Kopyltsova, MD"
"Adam Korayem, MD"
"Ninan Koshy, MD"
"Sean Kotkin, MD"
"Emanuel L Kouroupos, MD"
"Joel M Krauss, MD"
"Merab Krikhely, MD"
"Priya Krishnasamy, MD"
"Christopher Kroppmann, MD"
"Jessica Krugman, MD"
"Atul Kukar, DO"
"Nina Kukar, MD"
Clinically Integrated Network Member
"John Kulesa, MD"
"Nikhil A Kumta, MD"
"Kuhali Kundu, DO"
"Daniel B Kurbanov, MD"
"Susannah L Kurtz, MD"
"Zachary D Kuschner, MD"
"Alex J Ky-Miyasaka, MD"
"Cameron Kyle-Sidell, MD"
"Benjamin Laitman, MD"
"Austin S Lam, MD"
"Jacqueline Lamour, MD"
"Alexis P Langsfeld, MD"
"Michael D Lanigan, MD"
"John C Lantis, MD"
"Dana D Larsen, MD"
"Jonathan D Larson, MD"
"Jeffrey Lautin, MD"
"Elyse B Lavine, MD"
"Cappi Lay, MD"
"Stanislav Lazarev, MD"
"Melissa Leber, MD"
"Andrew J Lee, MD"
"David S Lee, MD"
"Denise S Lee, MD"
"Dong-Seok D Lee, MD"
"Richard Lee, MD"
"Young I Lee, MD"
"Eric Legome, MD"
"Jennifer Lehman, MD"
"Evan Leibner, MD"
"I. Michael Leitman, MD"
"Herbert S Lempel, MD"
"Susan M Lerner, MD"
"Quinn Leslie, MD"
"Stephan J Lestin, MD"
"Aretina Leung, MD"
"Rachel J Levene, MD"
"Jeffrey L Levine, MD"
"Stewart B Levine, MD"
"Olga Levochkina, MD"
"Boran Li, MD"
"Kerry Li, DO"
"Kincheon B Li, MD"
"Linda Li, MD"
"Wei J Li, MD"
"John W Liang, MD"
"Naomi A Liang, MD"
"Tian Z Liang, MD"
"Eric Lieu, MD"
"Czer Anthoney E Lim, MD"
"Ateaya A Lima, MD"
"Yue Lin, MD"
"Michelle Liu, MD"
"Peter W Liu, MD"
"Yuan Liu, MD"
"Yunyun A Lo, MD"
"Allison G Lockwood, MD"
"Andres Lopez-Albaitero, MD"
"Jennifer Love, MD"
"Tianyi Lu, MD"
"Mallory Luckey, MD"
"Sanida Lukovic, MD"
"Douglas K MacDonald, MD"
Clinically Integrated Network Member
"Patrick J Maher, MD"
"Joseph Mahgerefteh, MD"
"Fahima Mahir, MD"
"Dawar Mahmood, MD"
"Matthew F Majeske, MD"
"Shahram Majidi, MD"
"Khushbu Majmundar, MD"
"Eleni Maloutas, MD"
"Kimberly Mangla, MD"
"Sonali Mantoo, MD"
"Thomas E Maples, MD"
"Samuel Mapp, MD"
"Konstantinos Margetis, MD"
"Michael L Marin, MD"
Clinical Integrated Network
"Deborah C Marshall, MD"
"Jennifer L Marti, MD"
"Krista Martinez, MD"
"Rebecca K Masutani, MD"
"Judith E Mathieu, MD"
"James Maurer, MD"
"Daniel McConnell, MD"
"Sarah L McCuskee, MD"
"Jolion McGreevy, MD"
"Joshua O McHugh, MD"
"James F McKinsey, MD"
"Benjamin A McVane, MD"
"Michael N Megally, MD"
"Sunil Mehra, MD"
"Integrated Network, Emblem Health (HIP Commerical and Medicare)"
"Yohannes Melaku, MD"
"Kristin A Meliambro, MD"
"Marcelo Mendez, MD"
"Roland Merchant, MD"
"Peter S Midulla, MD"
"Mark Mikhly, MD"
"(718) 932-3100    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Bojana Milekic, MD"
"Ramon Millan, MD"
"Betty J Mintz, MD"
"Luisa Isabel Misa, MD"
"Jonathan Mishoe, MD"
"Tiffany Mitchell, MD"
"Avir Mitra, MD"
"Neal Moehrle, MD"
"Borna Mohabbatizadeh, MD"
"Edwardine M Mohanraj, MD"
"Peter Morgenstern, MD"
"Rolfe Sean Morrison, MD"
"David Mortel, MD"
"Zan Mra, MD"
"Bridget Mueller, MD"
"Meaghan E Mungekar, MD"
"Adiel Munk, MD"
"Jonathan L Murphy, MD"
"Meagan Murphy, MD"
"Sara Murphy, MD"
"Georges Naasan, MD"
"Neelima Nadella, MD"
Clinically Integrated Network Member
"Zaw Naing, MD"
"Arunabha Nandi, MD"
"Becky Naoulou, MD"
"Denise Nassisi, MD"
"Mansi M Nayak, MD"
"Anthony D Nehlsen, MD"
"Ka Ming G Ngai, MD"
"Scott Q Nguyen, MD"
"Thomas T Nguyen, MD"
"Yezina T Nigatu, MD"
"Kusuma Nio, MD"
"Jeranil Nunez, MD"
"Sussana Oad, MD"
"Shunpei Okochi, MD"
"Randall P Owen, MD"
"Thomas J Oxley, MD"
"Oscar A Padilla, MD"
"Leonidas Palaiodimos, MD"
"Frank Palumbo, MD"
"Harry Pantelides, MD"
"Koji Park, MD"
"Kenya Maria Parks, MD"
"Suparna Patcha, MD"
"Amish Patel, MD"
"Ankita Patel, MD"
"Divya Patel, MD"
"Hetal Patel, DO"
"Puja K Patel, MD"
"Vaishali R Patel, MD"
"Aarti R Patil, MD"
"Paru S Patrawalla, MD"
"Luca Pauselli, MD"
"Chandni K Pawar, MD"
"Varun Pawar, MD"
"Kimberly G Peters, MD"
"John P Phair, MD"
"Harrison Pidgeon, MD"
"Preethi Pirlamarla, MD"
"Matthew Pius, MD"
"Michael C Plietz, MD"
"Jeremy D Podolnick, MD"
"Elisa R Port, MD"
"Claudine N Portella, MD"
"Trevor R Pour, MD"
"Kamron Pourmand, MD"
"David Power, MBBS"
"Arjun Prabhu, MD"
"Gabriel Prager, MD"
"Lisa Primiani, MD"
"Michael L Prodromou, MD"
"Libo Qiu, MD"
"Andrew J Quinn, MD"
"Elaine J Rabin, MD"
"Florian Radu, DO"
"Asif M Rahman, MD"
"Andres Ramirez Zamudio, MD"
"Ajit Rao, MD"
"Benjamin Rapoport, MD"
"Bianca Redhead, MD"
"Michael A Redlener, MD"
"Tahreem Rehman, MD"
"Amanda Reich, MD"
"Ryan Renacci, MD"
"Madeline Renny, MD"
"Kestrel Reopelle, MD"
"Lucas R Resende Salgado, MD"
"Christopher Reverte, MD"
"(718) 932-3100    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Alexandra Reynolds, MD"
"Christopher G Richardson, MD"
"Lynne D Richardson, MD"
"Max Rippe, MD"
"Luis G Rivera Sanchez, MD"
"Robin D Roberts, MD"
"Bruce Robin, MD"
Clinically Integrated Network Member
"Chiara Rocha, MD"
"Rebecca A Rodin, MD"
"Carlos Rodriguez-Bonilla, MD"
"Rebecca Roediger, MD"
"Jeremy M Rose, MD"
"Blake D Rosenthal, MD"
"Kenneth E Rosenzweig, MD"
"Adam C Rothman, MD"
"Carl-Philippe Rousseau, MD"
"Joel R Rowe, MD"
"John Rozehnal, MD"
"Elizabeth J Rubano, MD"
"Steven Rudolph, MD"
Clinically Integrated Network Member
"Andrin Sadikaj, MD"
"Louis Saffran, MD"
"Audrey Saitta, MD"
"Ankit Sakhuja, MBBS"
"James S Salonia, MD"
"Reza N Samad, MD"
Clinically Integrated Network Member
"Ossama R Samuel, MD"
"Jennifer E Sanders, MD"
"Martine Sanon, MD"
"Voravut O Sarabanchong, MD"
"Christine Saracino, DO"
"Umut Sarpel, MD"
"(718) 932-1000    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Nidhish Sasi, MD"
"Turandot Saul, MD"
"Regina Saylor, MD"
"Hani Sbitany, MD"
"Jonathan Schimmel, MD"
"Jan F Schuetz-Mueller, MD"
"Mirela N Schwartz, MD"
"William Schwartz, MD"
"Vinita Sehgal, MD"
"Allison Selby, DO"
"Rodrigo Sequeira, MD"
"Monica Sethi, MD"
"John P Sfakianos, MD"
"Ankit R Shah, MD"
"Anuj Shah, MD"
"Ujas H Shah, MD"
"Zainab Shaheen, MD"
"Ahmed Shaikh, MD"
"Gururaj Shan, MD"
"Evan Shapiro, MD"
"Janet M Shapiro, MD"
"Ron Shapiro, MD"
"Siri Shastry, MD"
"Peter L Shearer, MD"
"Jaqueline Sheehan, MD"
"Huma U Sheikh, MD"
Clinically Integrated Network Member
"Danny Sherwinter, MD"
"Edward Shlasko, MD"
"Hazem M Shoirah, MD"
"Dave R Shukla, MD"
"Stephen Sigworth, MD"
"Vannita Simma-Chiang, MD"
"Kunal K Sindhu, MD"
"Elizabeth K Singer, MD"
"Anjali Singh, MD"
"Anuradha Singh, MD"
"Rani D Sittol, MD"
"Maria Skamagas, MD"
"Cardinale B Smith, MD"
"Kelly Smith, MD"
"Phillip Smith, MD"
"Christopher J Smolock, MD"
"Ekaterina Sokolova, MD"
"Laili Soleimani, MD"
"Rachel Solnick, MD"
"Samuel E Sondheim, MD"
"Krishnasamy Soundararajan, MD"
"Sophia Spadafore, MD"
"Elizabeth Spencer, MD"
"Louis Spina, MD"
"Westley J Spiro, MD"
"Jonathan Spitz, MD"
"Pranay Srivastava, MD"
"Richard S Stark, MD"
"Laura K Stein, MD"
"Jeremy Steinberger, MD"
"Randolph M Steinhagen, MD"
"Ashley Sterchele, MD"
"Nicholas Stevens, MD"
"(212) 659-8752    |    30-19 Crescent Street, Astoria, NY 11102    |     3.64 miles"
"Bess M Storch, MD"
"Matthew Straight, MD"
"Christopher G Strother, MD"
"Judah J Sueker, MD"
"Hassan Suleiman, MD"
"Javed Suleman, MD"
"Rachel Sullivan, MD"
Clinically Integrated Network Member
"Steven Sultan, MD"
"Brian D Sumner, MD"
"Ramona Sunderwirth-Bailly, MD"
"Patricia Sylla, MD"
"Georgios Syros, MD"
"John Tackett, MD"
"Rami O Tadros, MD"
"Che- YU J Tai, MD"
"Susan M Talbert, MD"
"Pranai Tandon, MD"
"Ryan E Tansek, MD"
"Peter J Taub, MD"
"Justin K Tay, MD"
"Aida Taye, MD"
"Shameeke Taylor, MD"
"Fasika Tedla, MD"
"Rahul N Thakker, MD"
"Janvi Thampi, MD"
"Paul A Thodiyil, MD"
"(718) 932-1000    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Dave Thomas, MD"
"Deepti Thomas-Paulose, MD"
"Seanna Thompson, MD"
"Frederick L Thum, MD"
"Jess Ting, MD"
"Windsor Ting, MD"
"Daryl Tiong, MD"
"Vanessa Tiongson, MD"
"Lindsay Tishberg, MD"
"George J Todd, MD"
"Julia R Tokarski, MD"
"Somone Tomasi, MD"
"Philip J Torina, MD"
"(718) 932-1000    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Ann Tran, MD"
"Shefali Trivedi, MD"
"Catherine Tsai, MD"
"Ashley T Tsang, MD"
"Che-Kai Tsao, MD"
"James W Tsung, MD"
"Efstathia Tzatha, MD"
"Takeshi Uemura, MD"
"Jaime V Uribarri, MD"
"Gandhi Vallarapu, MD"
"Edgar Z Vanegas, MD"
"Peter C Vangronigen, MD"
"Lara Vanyo, MD"
Clinically Integrated Network Member
"John Vaszari, MD"
"Georgios Voloudakis, MD"
"Nico Volz, MD"
"Kaitlyn R Votta, MD"
"Ageliki G Vouyouka, MD"
"Vikram Wadhera, MD"
"Lauren Wagner, MD"
"Nikhil Waingankar, MD"
"Harry Wanar, MD"
"Chang Wang, MD"
"Richard Wang, MD"
"Raymond V Wedderburn, MD"
"Naomi Weiss-Goldman, MD"
"Christina R Weltz, MD"
"Chase Westra, MD"
"Ruwanthi Wijesinghe, MD"
"Carl Wilkins, MD"
"Van Don Williams, MD"
"Amanda M Wilson, MD"
"Alan Wong, DO"
"Tommy Y Wong, MD"
"Benjamin Wyler, MD"
Clinical Integrated Network
"Steven Xian, MD"
"Ambika Yadav, MBBS"
"Yuji Yamada, MD"
"Diana H Yan, MD"
"Yuhui Yan, MD"
"Edward C Yang, MD"
"Nyima Yangdhar, MD"
"Alice S Yao, MD"
"Amna Yaqoob, MD"
"Elizabeth Yetter, MD"
"Jeremy Ying, MD"
"Raymund L Yong, MD"
"James J Young, MD"
"Ismail Zahir, MD"
"Julia Zakhaleva, MD"
"Benjamin Zalta, MD"
"Debra R Zane, MD"
"Nathan I Zapolsky, MD"
"Michael J Zeidman, MD"
"Linda P Zhang, MD"
"Lauren E Zinns, MD"
"Yasmina Zoghbi, MD"
"Vivian M Abascal, MD"
"Ethan Abbott, DO"
"Dalia Abdel Azim, MD"
"Judith A Aberg, MD"
"Brian Abittan, MD"
"Jessica Ables, MD"
"Cynthia Abraham, MD"
"Gallane D Abraham, MD"
"Rory Abrams, MD"
"Matthew Abramson, MD"
"Noura Abul-Husn, MD"
"Natasha Acosta Diaz, MD"
"Samuel O Acquah, MD"
"Ana Acuna-Villaorduna, MD"
"Jonas Adalsteinsson, MD"
"David H Adams, MD"
"Alan A Adler, MD"
"Debora Afezolli, MD"
"Ritu Agarwal, MD"
Clinically Integrated Network Member
"Shradha Agarwal, MD"
"Manasi Agrawal, MD"
"Samuel K Agyare, MD"
"Amanda Agyemang, MD"
"Debra A Aharon, MD"
"David Aharonoff, MD"
"Danish A Ahmad, MD"
"Jawad Ahmad, MD"
"Sumayya Ahmad, MD"
"Jalal Ahmed, MD, PhD"
"Sanam Ahmed, MD"
"Mohammed Akhtar, MD"
"Saadia Akhtar, MD"
"Paul M Al-Attar, MD"
"Zainab Al-Ibraheemi, MD"
"Robert Aldoroty, MD"
"Melissa A Alexander, MD"
"Tariq Alfarra, DO"
"Ayesha Ali, MD"
"Yousaf Ali, MD"
"Maddalena Allegretta, MD"
"Abigail K Allen, MD"
"Katherine E Allyn, MD"
"Deena Altman, MD"
"Gregory Amend, MD"
"Nana Amoh, PhD"
"Monica K Amoo-Achampong, MD"
"Theodora Anagnostou, MD"
"Malcolm Anastasius, MD"
"James J Andersen, MD"
"Brett Anderson, MD"
"David Anderson, MD"
"Jordyn Anderson, PsyD"
"Allen D Andrade, MD"
"Mark C Andreae, MD"
"Kevin Andujar, MD"
"Celina S Ang, MD"
"Claire Ankuda, MD"
"Rachel Annunziato, PhD"
"Swati Antala, MD"
"Shawn G Anthony, MD"
"Anelechi C Anyanwu, MD"
"Donald Apakama, MD"
"Olusegun A Apoeso, MBBS"
"Jacob M Appel, MD"
"Rachel Arakawa, MD"
"George Arida, MD"
"Suzanne A Arinsburg, MD"
"Robert Arnold, MD"
"Rica Arnon, MD"
"Antonios Arvelakis, MD"
"Charles J Ascher-Walsh, MD"
"Roshan Asrami, MD"
"Jesse J Astwood, MD"
"Marwan Atallah, MD"
"William M Atallah, MD"
"Haytham Atileh, MD"
"Deepak S Atri, MD"
"Kyrollis Attalla, MD"
"Danielle A Auslander, PsyD"
"Bella K Avanessian, MD"
"Nita G Avrith, MD"
"Felipe A Ayala, MD"
"Hameed Azeb Shahul, MD"
"Jacques Azzi, MD"
"Hae Young Baang, MD"
"Alina Babar, MD"
"Julia Babcock, LMSW"
"Nancy Bach, MD"
"Ketan K Badani, MD"
"Helen Badu, MD"
"Virginia M Baez Socorro, MD"
"Kara S Bagot, MD"
"Shahla Baharlou, MD"
"Matthew Y Bai, MD"
"Kayleen Bailey, MD"
"Ian Baine, MD"
"Mary Grace Baker, MD"
"Maryam Bakhshandeh, MD"
"Richard L Bakst, MD"
"Melissa Baldwin, MD"
Clinical Integrated Network
"Tara Balija, MD"
"Manisha C Balwani, MD"
"Jeffrey A Bander, MD"
"Emily Baneman, MD"
"Ronjon Banerjee, MD"
"Theodore Bania, MD"
"(212) 241-8460    |    1440 Madison Avenue, New York, NY 10029    |     3.75 miles"
"Rudrani Banik, MD"
"Sarah M Bannon, PhD"
"Meena Bansal, MD"
"Neha Bansal, MD"
"Nikita Barai, MD"
"Mark G Barber, MD, MPH"
"Peter J Barelli, MD"
"Maya Barghash, MD"
"Nitin Barman, MD"
"Barbara J Barnett, MD"
"John Barrett, MD"
"David Barris, MD"
"Christin J Barry, MD"
"Victoria Barry, PsyD"
"Logan Bartram, MD"
"Lawrence Baruch, MD"
"David S Baskin, PsyD"
"Brett Baskovich, MD"
"Adel Bassily-Marcus, MD"
"Martin Bassiur, DDS"
"(212) 241-0300    |    1 Gustave L. Levy Place, New York, NY 10029    |     3.75 miles"
"Arnabh Basu, MD"
"Amanda Bates, MD"
"Priti Batta, MD"
"Mukta Baweja, MD"
"Joseph A Bax, DO"
"Mary B Beasley, MD"
"Oren Becher, MD"
"Erin Beck, MD"
"Jennifer Beck-Esmay, MD"
"Christian D Becker, MD"
"Jay R Begun, MD"
"Adam Belachew, MD"
"Jacob D Bell, MD"
"Joan L Bell, LCSW"
"Laura K Belland, MD"
"Scott J Belsley, MD"
"Nofar Ben-Avi, PsyD"
"David Ben-Eli, MD"
"Corinne Benchimol, DO"
"Carlos R Benitez, LCSW"
"Keith J Benkov, MD"
"Alan I Benvenisty, MD"
"Raymond Benza, MD"
"Alejandro Berenstein, MD"
"Michael H Berger, MD"
"Veerle Bergink, MD"
"Jill A Berkin, MD"
"Stephanie L Bernard, MD"
"Laura Berner, PhD"
"Stephanie Bernik, MD"
"Peter S Bernstein, MD, MPH"
"Prarthana Beuria, MD"
"Bhavana Bhagya Rao, MD"
"Arjun M Bhansali, MD"
"Anup Bharani, MD"
"Aarti S Bhardwaj, MD"
"Sonica Bhatia, MD"
"Deepak L Bhatt, MD"
"Abhik Bhattacharya, MD"
"Saumya Bhutani, MD"
"Angela T Bianco, MD"
"Nina A Bickell, MD"
"Mollie A Biewald, MD"
"Saadiyah Bilal, MD"
"Rebecca Birnbaum, MD"
"Caroline H Bjorkman, DO"
"Leah Blank, MD"
"Stephanie V Blank, MD"
"Lauren E Blau, PhD"
"Ira S Blaufarb, MD"
"Kara Bloomgarden, MD"
"Cary Blum, MD"
"Erik Blutinger, MD"
"Percy Boateng, MD"
"Lisa F Boguski-Filgueira, MD"
"William A Bonadio, MD"
"Vivien Boniuk, MD"
"Sonali Bose, MD"
"Nicole M Bouvier, MD"
"Morgan S Bowling, DO"
"Arianne Boylan, MD"
"Mary Boyle, MD"
"Mary Braddock, PhD"
"Lisa L Brailey, MD"
"Yaniv Y Brailovschi, MD"
"Ariel Brandwein, MD"
"Margaret S Brandwein-Weber, MD"
"Anate Brauer, MD"
"Sabrina Breed, PhD"
"Margo Breilyn, MD"
"Adam R Brenner, MD"
"Michael L Brodman, MD"
"Erica L Brody, MD"
"Joshua Brody, MD"
"Robin Brody, PsyD"
"Michael J Bronson, MD"
"Wesley Bronson, MD"
"Jason Z Bronstein, MD"
"David J Bronster, MD"
"Cara Brown, MD"
"Rebecca Brown, MD"
"Patrick Brunner, MD"
"Kelsey Bryant, MD"
"Thomas N Bryce, MD"
"Katarzyna A Brzezinska, MD"
"Daniel Buchbinder, DMD"
"Adjoa A Bucknor, MD"
"Michael H Buckstein, MD"
"John C Bucuvalas, MD"
"Cynthia Bui, MD"
"Alexander Bulanov, DO"
"Eugene M Bulkin, MD"
"Supinda Bunyavanich, MD"
"Rebecca Burger-Caplan, PhD"
"Erin Burke, PhD"
"Caroline W Burmon, MD"
"Maurizio Buscarini, MD"
"Douglas S Bush, MD"
"Paula J Busse, MD"
Clinically Integrated Network Member
"Angie E Buttigieg, MD"
"Erkan Buyuk, MD"
"Mafalda Fernanda Cabral dos Santos Barbosa, MD, PhD"
"Phyllis A Caces, MD"
"Paul J Cagle, MD"
"Matthew A Cagliostro, MD"
"John D Cahill, MD"
"(212) 241-8460    |    1440 Madison Avenue, New York, NY 10029    |     3.75 miles"
"Robert F Calciano, MD"
"Yvette Calderon, MD"
"Eileen H Callahan, MD"
"Francesco Callipari, MD"
"Kirk Campbell, MD"
"David Cancel, MD"
"Chelsea M Canon, MD"
"Christopher Cao, MD"
"Daniel S Caplivski, MD"
"Christopher Caravanos, MD"
"Steven Carbonaro, MD"
"Eliana Cardozo, DO"
"Patricia Carey, MD"
Clinically Integrated Network Member
"Bruno Caridi, MD"
"Brendan Carr, MD"
"Caitlin E Carr, MD"
"Kecia Carroll, MD"
"Moira Carroll, MD"
"Fernanda Carvalho Poyraz, MD"
"Bartolomeo V Castellano, MD"
"Sarah P Cate, MD"
"Michael T Caton, MD"
"Michelle S Cespedes, MD"
"Laura S Cha, MD"
"Yonhee Cha, MD"
"Anil Chacko, PhD"
"Udit Chaddha, MD"
"Nisha Chadha, MD"
"Patrick M Chae, MD"
"Geroge Chahine, MD"
"Emily Chai, MD"
"Raymond Chai, MD"
"Haamid Chamdawala, MD"
"Alison L Chan, MD"
"Chi Chan, PhD"
"Lili Chan, MD"
"Charissa Y Chang, MD"
"Cheryl Chang, MD"
"Christine Chang, MD"
"Jenny F Chang, MD"
"Michael Chang, MD"
"Alexander Charney, MD"
"Rachel N Chasan, MD"
"Jennifer C Chase, MD"
"Kevin Chason, DO"
"Saad B Chaudhary, MD"
"Ahmed Chaudhry, DO"
"Hina W Chaudhry, MD"
"(212) 427-1540    |    1 Gustave L. Levy Place, New York, NY 10029    |     3.75 miles"
"Khadeen C Cheesman, MD"
"Mirna A Chehade, MD"
"Annie Chen, MD"
"Darwin D Chen, MD"
"Joanna Chen, MD, MPH"
"Katherine T Chen, MD"
"Lilyanne Chen, MD"
"Masako Chen, MD"
"Vivian Chen, LCSW"
"Zijian Chen, MD"
"Christina Cherny, OD"
"David B Chessin, MD"
"Hayley Chester, DO"
"Tim Y Chi, PsyD"
"Weiwei Chi, MD"
"Deanna Chieco, MD"
"Edward Chin, MD"
"Makini Chisolm-Straker, MD"
"Jason N Chiu, MD"
"Carol M Cho, PhD"
"Hearn J Cho, MD"
"Samuel K Cho, MD"
"Eugene W Choi, MD"
"Joshua Choi, MD"
"Michael Choi, MD"
"Lauryn Choleva, MD"
"Eugene Choo, MD"
"Sung Yoon Choo, MD"
"Aparna Chopra, MBBS"
"Courtney Chou, MD"
"Tanvir F Choudhri, MD"
"Rebecca L Choudhury, MD"
"Nadine F Choueiter, MD"
"Lawremce Chow, MD"
"Stephanie W Chow, MD"
"Mary C Christopher, MD"
"Jaime Chu, MD"
"Barbara Chubak, MD"
"Audrey K Chun, MD"
"Glen Chun, MD"
"Nicholas H Chun, MD"
"Daniel Chung, MD"
"Jaeah Chung, MD"
"Michael S Chung, MD"
"Miriam Chung, MD"
"Wendy Chung, MD"
"Ahuva Cices, MD"
"Mateusz K Ciejka, MD"
"Jennifer Ciuchta, MD"
"Brian A Coakley, MD"
"Steven Coca, DO"
"Alan Cohen, MD"
"Deirdre Cohen, MD"
"Fred Cohen, MD"
"Jennifer Cohen, MD"
"Lawrence B Cohen, MD"
"Louis J Cohen, MD"
"Noah Cohen, MD"
"Samantha Cohen, MD"
"Frank S Coletta, MD"
"Victoria E Collins, MD"
"Jean-Frederic Colombel, MD"
"Alexis C Colvin, MD"
"Angela Condo, MD"
"Brendan D Connell, MD"
"Philippa Connolly, PhD"
"Johanna P Contreras, MD"
"William A Cook, MD"
"Luckshman Coomaralingam, MD"
"Virginia Corbette, MD"
"Alexandra L Coria, MD"
"James Cornwall, MD"
"Ashish A Correa, MBBS"
"Juan Camilo Correa-Gallego, MD"
"Maura K Cosetti, MD"
"Francesca Cossarini, MD"
"Mark S Courey, MD"
"Ethan A Cowan, MD"
"Amanda L Cox, MD"
"Michael Crane, MD"
"John F Crary, MD"
"Mary Abigail Craven, MD"
"Kristina M Creadore, OD"
"James F Crismale, MD"
"Lori B Croft, MD"
"Caroline I Cromwell, MD"
"Rita Crooms, MD"
"Catrina Cropano, MD"
"Laura E Crowley, MD"
"Giselle Cruz, MD"
"Lisanne Cruz, MD"
"David P Culang, MD"
"Bruce E Culliney, MD"
"Charlotte Cunningham-Rundles, MD"
"Susanna Curtis, MD"
"Karina Cymes, MD"
"Lawrence I Cytryn, MD"
Clinically Integrated Network Member
"Lisa Dabney, MD"
"Uma Damle, MD"
"Kristen Dams-O'Connor, PhD"
"George D Dangas, MD"
"Neha Dangayach, MD"
"Celeenamma B Daniel, MD"
"Rachel B Danis, MD"
"Khalid O Dar, MD"
"Nigar Dargah-Zada, MD"
"Joseph Dario, MD"
"Bruce J Darrow, MD"
"Mohamed Darwish, MD"
"Morgan P Dauer, MD"
"Cula Dautriche-Svidzinski, MD"
"Terry F Davies, MD"
"Nephthalie Davis, LCSW"
"Rafael E De La Hoz, MD"
"Reade A De Leacy, MD"
"Jonathan DeAssis, MD"
"Chelsea A DeBolt, MD"
"Louis R DePalo, MD"
"Thomas J DePrima, MD"
"Anthony DeVivo, DO"
"Martyna DeVries, MD"
